
????0500
0004,0017,0010,0004,0004,0004,0004,0004,0004,0004,0004,0004,
0004,0048,0049,0004,0004,0004,0004,0004,0004,0004,0004,0004,
0004,0088,0055,0004,0004,0004,0004,0004,0004,0004,0004,0004,
0004,0047,0070,0004,0004,0004,0004,0004,0005,0004,0004,0004,
0004,0035,0053,0004,0004,0004,0004,0004,0004,0004,0004,0004,
0004,0047,0062,0004,0004,0004,0004,0004,0004,0004,0004,0004,
0004,0049,0035,0004,0004,0004,0004,0004,0009,0004,0004,0004,
0004,0048,0026,0004,0004,0004,0004,0004,0004,0004,0004,0004,
0004,0093,0046,0004,0005,0004,0006,0004,0004,0004,0004,0004,
0004,0081,0072,0004,0005,0005,0004,0004,0004,0004,0004,0004,
0004,0096,0068,0004,0004,0004,0004,0006,0004,0004,0004,0004,
0004,0072,0055,0004,0006,0004,0004,0010,0004,0004,0004,0004,
0007,0041,0085,0004,0005,0004,0004,0004,0017,0006,0004,0004,
0006,0011,0047,0004,0008,0004,0004,0004,0004,0004,0004,0004,

????0501
0004,0015,0011,0004,0004,0004,0004,0004,0004,0004,0004,0004,
0004,0046,0046,0004,0004,0004,0004,0004,0004,0004,0004,0004,
0004,0086,0059,0004,0004,0004,0004,0004,0004,0004,0004,0004,
0004,0048,0072,0004,0004,0004,0004,0004,0005,0004,0004,0004,
0004,0033,0053,0004,0004,0004,0004,0004,0004,0004,0004,0004,
0004,0046,0064,0004,0004,0004,0004,0004,0004,0004,0004,0004,
0004,0050,0036,0004,0004,0004,0004,0004,0010,0004,0004,0004,
0004,0046,0026,0004,0004,0004,0004,0004,0004,0004,0004,0004,
0004,0095,0048,0004,0005,0004,0007,0004,0004,0004,0004,0004,
0004,0079,0069,0004,0005,0005,0004,0004,0004,0004,0004,0004,
0004,0108,0069,0004,0004,0004,0004,0006,0004,0004,0004,0004,
0004,0070,0055,0004,0006,0004,0004,0010,0004,0004,0004,0004,
0007,0041,0086,0004,0005,0004,0004,0004,0016,0006,0004,0004,
0007,0013,0049,0004,0008,0004,0005,0004,0004,0004,0004,0004,

????0502
0004,0016,0008,0004,0004,0004,0004,0004,0004,0004,0004,0004,
0004,0047,0046,0004,0004,0004,0004,0004,0004,0004,0004,0004,
0004,0083,0057,0004,0004,0004,0004,0004,0004,0004,0004,0004,
0004,0050,0072,0004,0004,0004,0004,0004,0005,0004,0004,0004,
0004,0035,0054,0004,0004,0004,0004,0004,0004,0004,0004,0004,
0004,0048,0061,0004,0004,0004,0004,0004,0004,0004,0004,0004,
0004,0049,0037,0004,0004,0004,0004,0004,0010,0004,0004,0004,
0004,0043,0025,0004,0004,0004,0004,0004,0004,0004,0004,0004,
0004,0094,0046,0004,0005,0004,0006,0004,0004,0004,0004,0004,
0004,0078,0071,0004,0005,0005,0004,0004,0004,0004,0004,0004,
